games_played,player_efficiency_rating,offensive_plus_minus,value_over_replace_player,three_pointer_made_per_game,three_pointer_attempts_per_game,two_pointer_made_per_game,two_pointer_attempts_per_game,free_throw_made_per_game,free_throw_attempts_per_game,defensive_rebound_per_game,assists_per_game,steals_per_game,turnovers_per_game,points_per_game,position_PF,position_PG,position_SF,position_SG,conference_WEST,starter,win_shares
73,12.2,-1.0,-0.20278931341136713,-0.8209196610201621,-0.8879291441105951,0.480739428718386,0.3047019106756671,0.3590007276010233,0.5213906582829375,6.5,0.8,0.3,1.6,9.1,0,0,0,0,1,1,4.5
81,17.0,1.4,1.2865858819304543,-0.6699976996350843,-0.6593633777696968,1.6760814858205793,1.55418910131802,0.9734240925731301,1.1960802770082763,1.7,7.6,1.8,3.0,14.3,0,1,0,0,0,1,4.4
49,6.0,-6.0,-0.6992477118586409,-0.8209196610201621,-0.8879291441105951,-1.203606197198341,-1.1892501650923633,-0.7930430817216773,-0.82798857916774,1.3,0.2,0.1,0.4,1.3,0,0,0,0,0,1,0.2
80,10.2,-1.6,-0.3682754462271251,-0.2172318154798505,-0.31651472825834953,-0.4972677089106812,-0.4558555097153303,-0.7162401611001639,-0.7666531592836182,1.1,2.7,0.6,1.2,5.2,0,1,0,0,1,1,1.4
82,13.3,-1.3,-0.616504645450762,-0.8209196610201621,-0.8879291441105951,2.2194187845033944,2.3147465217090177,0.9734240925731301,1.0734094372400327,4.0,1.1,0.4,2.1,16.2,0,0,0,0,1,1,4.8
37,8.7,-5.7,-1.0302199774901568,-0.8209196610201621,-0.8879291441105951,-0.2799327894375551,0.005911495522061071,-0.6394372404786506,0.030707299209963946,3.1,0.5,0.5,1.3,5.0,1,0,0,0,0,0,-0.2
27,10.3,-3.7,-0.6992477118586409,-0.8209196610201621,-0.8879291441105951,-0.06259786996442912,0.03307426053602517,-0.25542263737108367,1.1347448571241545,5.0,0.7,0.8,1.3,6.1,1,0,0,0,0,0,0.3
65,9.8,-2.3,-0.2855323798192461,-0.8209196610201621,-0.8879291441105951,-1.0406050075934963,-1.0805991050365067,-0.8698460023431905,-0.8893239990518617,1.3,0.7,0.6,0.3,1.8,0,0,1,0,1,1,1.4
78,14.3,-0.8,-0.8647338446743991,-0.5190757382500063,-0.43079761142879863,1.35007910661089,1.5813518663319845,0.8966211719516171,0.9507385974717896,1.3,2.3,0.6,1.8,13.5,0,0,0,1,0,1,1.0
82,10.6,-1.7,0.7073844170753015,-0.8209196610201621,-0.8879291441105951,-0.38860024917411823,-0.4830182747292944,-0.4090284786141104,-0.3986406399788881,5.2,0.5,0.4,0.9,4.8,0,0,0,0,1,1,5.3
82,10.7,-3.0,-0.533761579042883,-0.6699976996350843,-0.6593633777696968,0.42640569885010443,0.277539145661703,0.2053948863579966,0.27604897874645073,2.2,1.8,0.9,1.9,8.9,0,0,1,0,1,1,2.7
82,13.3,-1.6,-0.3682754462271251,-0.8209196610201621,-0.8879291441105951,1.6217477559522975,1.5813518663319845,1.280635775059184,1.3800865366606414,2.8,0.8,0.3,1.6,14.5,0,0,0,0,0,1,5.6
78,11.6,-2.5,-0.45101851263500403,-0.6699976996350843,-0.6593633777696968,1.2414116468743273,1.7443284564157697,0.2053948863579966,0.1533781389782072,2.6,3.2,1.6,2.3,12.0,0,0,0,1,0,1,0.3
81,14.5,0.3,1.452072014746212,1.1410658369858508,0.8834555450313663,0.8067418079280748,0.8207944459409869,0.0517890451149699,0.1533781389782072,3.6,4.6,1.6,2.0,13.6,0,0,0,1,0,1,6.5
81,12.5,-0.4,-0.12004624700348814,-0.8209196610201621,-0.8307877025253705,0.6437406183232304,0.6578178558572019,0.5894094894655633,0.39871981851469424,2.1,1.9,0.6,1.4,10.0,0,0,1,0,1,1,4.6
55,19.0,4.0,1.452072014746212,1.744753682526162,1.7977186103949592,2.599754893581365,2.2332582266671253,1.511044536923724,1.3800865366606414,2.7,2.0,1.1,2.2,23.5,0,0,0,1,1,1,6.4
34,10.3,-4.0,-0.6992477118586409,-0.8209196610201621,-0.8307877025253705,0.3720719689818229,0.4948412657734165,-0.10181679612805698,0.1533781389782072,3.9,1.9,0.5,1.8,8.0,0,0,0,0,1,0,0.4
38,15.5,-0.2,-0.3682754462271251,-0.5190757382500063,-0.48793905301402324,-0.2799327894375551,-0.23855338960361677,-0.02501387550654354,0.030707299209963946,0.7,0.7,0.4,0.7,6.4,0,0,0,1,1,0,0.7
14,8.1,-5.6,-0.533761579042883,-0.8209196610201621,-0.8307877025253705,-1.203606197198341,-1.2435756951202919,-1.1002547642077307,-1.0119948388201052,0.3,0.1,0.1,0.1,0.9,0,0,1,0,0,0,-0.1
82,16.3,1.9,1.2038428155225753,-0.6699976996350843,-0.6593633777696968,1.5674140260840161,1.4455380412621637,0.9734240925731301,0.9507385974717896,2.5,7.4,1.1,2.5,14.3,0,1,0,0,0,1,6.7
82,14.2,0.8,0.9556136162989386,0.839221914215695,0.769172661860917,0.3720719689818229,0.3861902057175599,0.5894094894655633,0.46005523839881574,1.9,7.3,1.1,2.5,12.2,0,1,0,0,1,1,6.3
77,11.1,-3.2,-1.1129630438980358,-0.8209196610201621,-0.8879291441105951,0.5350731585866675,0.6578178558572019,0.5894094894655633,0.5827260781670592,3.0,1.1,0.7,1.7,9.5,1,0,0,0,0,1,2.0
71,12.3,-0.6,-0.12004624700348814,-0.8209196610201621,-0.7165048193549214,-0.38860024917411823,-0.40152997968740184,-0.25542263737108367,-0.3373052200947663,1.0,1.7,0.4,0.6,5.1,0,0,1,0,0,1,1.9
51,9.1,-3.0,-0.78199077826652,-0.8209196610201621,-0.773646260940146,-0.2799327894375551,0.005911495522061071,-0.4090284786141104,-0.5213114797471315,1.6,3.1,0.9,1.6,5.3,0,1,0,0,1,1,-0.7
28,10.6,-2.4,-0.6992477118586409,-0.2172318154798505,-0.3736561698435741,0.7524080780597935,1.0380965660527006,0.2053948863579966,0.030707299209963946,3.0,5.2,1.1,2.8,10.9,0,1,0,0,1,0,0.4
73,11.8,-2.0,-0.20278931341136713,-0.6699976996350843,-0.7165048193549214,0.10040331964041531,0.005911495522061071,-0.25542263737108367,-0.2759698002106446,1.8,4.0,1.2,1.6,7.0,0,0,0,1,1,1,2.5
63,12.9,-2.7,-0.533761579042883,-0.8209196610201621,-0.8879291441105951,-0.17126532970099223,-0.3200416846455093,-0.25542263737108367,-0.21463438032652296,1.9,0.6,0.6,1.1,5.9,1,0,0,0,0,1,1.5
21,22.9,2.8,-0.12004624700348814,-0.8209196610201621,-0.8307877025253705,0.9697429975329197,1.010933801038736,1.2038328544376704,1.3187511167765198,1.7,0.4,1.0,0.6,12.0,1,0,0,0,0,0,1.3
16,14.4,-1.5,-0.45101851263500403,-0.8209196610201621,-0.8879291441105951,0.3720719689818229,0.5763295608153091,0.6662124100870768,0.8894031775876677,2.8,0.5,0.4,1.1,8.9,1,0,0,0,1,0,0.5
60,16.9,0.2,0.12818295222014872,-0.8209196610201621,-0.8879291441105951,2.4910874338448017,2.2060954616531605,2.2022708225173444,2.4841240945748315,5.7,1.5,1.1,2.8,18.8,1,0,0,0,0,1,4.1
81,15.7,0.7,0.7073844170753015,-0.8209196610201621,-0.773646260940146,1.6217477559522975,1.825816751457662,0.6662124100870768,0.5213906582829375,6.1,1.6,0.5,1.2,13.7,0,0,0,0,0,1,6.0
44,15.3,0.3,0.45915521785166474,-0.6699976996350843,-0.6022219361844723,1.5130802962157348,1.5813518663319845,0.3590007276010233,0.33738439863057246,3.1,10.0,2.5,4.7,13.1,0,1,0,0,1,1,1.3
